,number,county,state,lat,lng
211,4845,Del Norte County,California,41.7076287,-123.9659708
212,7702,Del Norte County,California,41.7076287,-123.9659708
213,3636,Eagle County,Colorado,39.576406,-106.7234639
214,9009,Grafton County,New Hampshire,43.9087929,-71.825994
215,2755,Humboldt County,California,40.7450055,-123.8695086
216,3231,Indiana County,Pennsylvania,40.6850762,-79.1096901
217,3029,Shasta County,California,40.7908864,-121.8474493
218,3056,Siskiyou County,California,41.7743261,-122.5770126
219,2431,Tulare County,California,36.1341739,-118.8596804
220,26113,Belknap County,New Hampshire,43.5024246,-71.4073938
221,4736,Carter County,Tennessee,36.2638604,-82.12783999999999
222,5383,Del Norte County,California,41.7076287,-123.9659708
223,7909,Essex County,New York,44.0107408,-73.9507728
224,25339,Grays Harbor County,Washington,46.9953526,-123.7012468
225,5463,Monterey County,California,36.3136201,-121.3541631
226,7159,Campbell County,Tennessee,36.3817326,-84.1857115
227,19350,Custer County,South Dakota,43.6784067,-103.4511768
228,8451,Fredrick County,Maryland,39.3844507,-77.4701972
229,23983,Henderson County,Illinois,40.83355479999999,-90.9438468
230,6520,Humboldt County,California,40.7450055,-123.8695086
231,24512,Johnston County,Oklahoma,34.2855117,-96.62106109999999
232,44191,Mason County,Michigan,43.9664537,-86.49965460000001
233,9286,Ferry County,Washington,48.4718375,-118.4974069
234,9439,Humboldt County,California,40.7450055,-123.8695086
235,8187,Rensselaer County,New York,42.673664,-73.55941279999999
236,7864,Shoshone County,Idaho,47.1746948,-115.9104676
237,23581,Stone County,Missouri,36.7748882,-93.4599326
238,8305,Susquehanna County,Pennsylvania,41.745553,-75.8069082
239,21659,Chelan County,Washington,47.9445331,-120.6749068
240,25702,Fleming County,Kentucky,38.3987633,-83.67739279999999
241,35616,Grand Traverse County,Michigan,44.687984,-85.52002399999999
242,32536,Pierce County,Washington,47.0675877,-122.1295269
243,12405,Siskiyou County,California,41.7743261,-122.5770126
244,24898,Grays Harbor County,Washington,46.9953526,-123.7012468
245,23808,Lamar County,Georgia,33.0765883,-84.14351359999999
246,26750,Marion County,Arkansas,36.3194702,-92.6983868
247,23784,Burlington County,New Jersey,39.8558488,-74.6868815
248,25619,Franklin County,Alabama,34.3967457,-87.6186379
249,23961,Ozaukee County,Wisconsin,43.3819496,-87.6186379
250,23695,Warren County,Pennsylvania,41.8143331,-79.29021329999999
251,24218,Coconino County,Arizona,35.6647545,-111.4752851
252,23796,Grays Harbor County,Washington,46.9953526,-123.7012468
253,34006,Marquette County,Michigan,46.644579,-87.5593823
254,40170,Missoula County,Montana,47.0240503,-113.6869923
255,27779,Neosho County,Kansas,37.6045688,-95.3102505
256,24644,Riverside County,California,33.9532966,-117.3961192
257,36205,Sevier County,Tennessee,35.8271682,-83.5070203
258,26448,Snohomish County,Washington,48.0329979,-121.8339472
259,25346,Spalding County,Georgia,33.2636732,-84.3121264
260,25485,Cherokee County,Georgia,34.2514526,-84.4802606
261,26497,Clackamas County,Oregon,45.2023855,-122.1188945
262,26095,Clay County,Minnesota,46.878186,-96.42575889999999
263,27075,Eagle County,Colorado,39.576406,-106.7234639
264,26943,Major County,Oklahoma,36.3479671,-98.5281613
265,25658,Monroe County,Indiana,39.1851445,-86.49965460000001
266,26695,Pierce County,Washington,47.0675877,-122.1295269
267,25382,Winneshiek County,Iowa,43.2362611,-91.9099238
268,32251,Coconino County,Arizona,35.6647545,-111.4752851
269,29315,Fannin County,Texas,33.5544296,-96.15269850000001
270,41668,Hockley County,Texas,33.6212592,-102.3463875
271,27895,Keokuk County,Iowa,41.3397063,-92.2236667
272,41621,Lamb County,Texas,34.1486153,-102.3463875
273,41290,Monroe County,Tennessee,35.471793,-84.2278796
274,28716,Pierce County,Washington,47.0675877,-122.1295269
275,34502,Pike County,Kentucky,37.4842087,-82.4752757
276,27682,Prince William County,Virginia,38.7838939,-77.6077865
277,27819,Siskiyou County,California,41.7743261,-122.5770126
278,28577,Skagit County,Washington,48.4241961,-121.7114362
279,30680,Winston County,Alabama,34.1690087,-87.3413599
280,32924,Barry County,Michigan,42.5354321,-85.35496499999999
281,55552,Burlington County,New Jersey,39.8558488,-74.6868815
282,32024,Grand Traverse County,Michigan,44.687984,-85.52002399999999
283,30438,Pender County,North Carolina,34.5170729,-77.8367282
284,30783,Pierce County,Washington,47.0675877,-122.1295269
